iter	Passed	Remaining
443	1384	1734
444	1390	1734
445	1397	1736
446	1401	1733
447	1406	1733
448	1411	1732
449	1416	1731
450	1422	1731
451	1425	1728
452	1429	1726
453	1435	1726
454	1440	1725
455	1445	1723
456	1450	1723
457	1455	1721
458	1460	1721
459	1466	1720
460	1471	1720
461	1477	1720
462	1484	1721
463	1492	1724
464	1496	1722
465	1500	1719
466	1504	1716
467	1510	1717
468	1515	1715
469	1522	1716
470	1526	1714
471	1530	1712
472	1535	1710
473	1539	1708
474	1544	1706
475	1548	1704
476	1556	1706
477	1560	1704
478	1565	1702
479	1570	1701
480	1575	1699
481	1579	1697
482	1583	1694
483	1587	1692
484	1592	1690
485	1596	1688
486	1600	1685
487	1603	1682
488	1608	1680
489	1612	1677
490	1616	1675
491	1623	1676
492	1628	1674
493	1633	1672
494	1637	1670
495	1642	1668
496	1645	1665
497	1651	1664
498	1656	1663
499	1660	1660
500	1664	1658
501	1668	1655
502	1672	1652
503	1677	1651
504	1682	1649
505	1686	1646
506	1691	1644
507	1694	1641
508	1699	1638
509	1702	1636
510	1707	1634
511	1712	1631
512	1716	1629
513	1720	1626
514	1724	1623
515	1728	1621
516	1733	1619
517	1737	1616
518	1741	1614
519	1745	1611
520	1749	1608
521	1753	1605
522	1758	1603
523	1763	1601
524	1766	1598
525	1770	1595
526	1775	1593
527	1779	1590
528	1783	1587
529	1787	1584
530	1792	1582
531	1796	1580
532	1799	1576
533	1804	1574
534	1808	1571
535	1811	1568
536	1815	1565
537	1820	1563
538	1824	1560
539	1828	1557
540	1832	1554
541	1836	1552
542	1840	1548
543	1844	1545
544	1849	1544
545	1853	1541
546	1857	1538
547	1862	1536
548	1867	1533
549	1871	1531
550	1879	1531
551	1883	1528
552	1887	1525
553	1892	1523
554	1895	1520
555	1899	1517
556	1904	1514
557	1909	1512
558	1913	1509
559	1917	1506
560	1920	1503
561	1924	1500
562	1928	1496
563	1932	1494
564	1938	1492
565	1942	1489
566	1948	1487
567	1952	1484
568	1956	1481
569	1959	1478
570	1965	1476
571	1974	1477
572	1978	1474
573	1982	1471
574	1986	1468
575	1991	1466
576	1996	1463
577	2000	1460
578	2005	1458
579	2009	1455
580	2013	1452
581	2018	1449
582	2023	1447
583	2027	1443
584	2032	1442
585	2038	1439
586	2042	1436
587	2047	1434
588	2051	1431
589	2055	1428
590	2059	1425
591	2063	1422
592	2067	1419
593	2071	1415
594	2076	1413
595	2081	1410
596	2085	1407
597	2090	1405
598	2093	1401
599	2097	1398
600	2101	1395
601	2106	1392
602	2110	1389
603	2114	1386
604	2119	1383
605	2123	1380
606	2127	1377
607	2131	1374
608	2135	1370
609	2139	1367
610	2143	1364
611	2147	1361
612	2151	1358
613	2155	1355
614	2160	1352
615	2164	1349
616	2168	1346
617	2172	1342
618	2176	1339
619	2181	1336
620	2185	1333
621	2190	1331
622	2195	1328
623	2199	1325
624	2204	1322
625	2207	1319
626	2224	1323
627	2229	1320
628	2235	1318
629	2239	1315
630	2244	1312
631	2249	1309
632	2259	1309
633	2264	1307
634	2268	1304
635	2273	1301
636	2279	1298
637	2284	1296
638	2294	1296
639	2300	1293
640	2305	1291
641	2313	1290
642	2323	1289
643	2330	1288
644	2336	1286
645	2344	1284
646	2352	1283
647	2358	1281
648	2366	1280
649	2373	1278
650	2381	1276
651	2386	1273
652	2398	1274
653	2402	1271
654	2408	1268
655	2413	1265
656	2417	1262
657	2422	1259
658	2427	1255
659	2432	1253
660	2437	1250
661	2441	1246
662	2445	1243
663	2450	1239
664	2454	1236
665	2457	1232
666	2461	1228
667	2466	1225
668	2470	1222
669	2474	1218
670	2478	1215
671	2482	1211
672	2487	1208
673	2493	1205
674	2497	1202
675	2502	1199
676	2507	1196
677	2512	1193
678	2516	1189
679	2522	1187
680	2526	1183
681	2530	1179
682	2535	1176
683	2539	1173
684	2543	1169
685	2546	1165
686	2552	1162
687	2555	1159
688	2559	1155
689	2564	1152
690	2568	1148
691	2572	1144
692	2577	1141
693	2581	1138
694	2585	1134
695	2589	1131
696	2594	1128
697	2598	1124
698	2602	1120
699	2605	1116
700	2610	1113
701	2614	1109
702	2618	1106
703	2623	1102
704	2626	1099
705	2630	1095
706	2634	1091
707	2639	1088
708	2643	1084
709	2647	1081
710	2659	1081
711	2665	1078
712	2673	1076
713	2678	1072
714	2683	1069
715	2691	1067
716	2698	1065
717	2703	1061
718	2711	1059
719	2716	1056
720	2724	1054
721	2729	1050
722	2734	1047
723	2738	1044
724	2743	1040
725	2748	1037
726	2759	1036
727	2763	1032
728	2769	1029
729	2773	1025
730	2778	1022
731	2783	1019
732	2792	1017
733	2796	1013
734	2800	1009
735	2804	1006
736	2808	1002
737	2813	999
738	2817	995
739	2822	991
740	2828	988
741	2832	984
742	2836	981
743	2841	977
744	2846	974
745	2851	970
746	2855	967
747	2859	963
748	2863	959
749	2866	955
750	2871	952
751	2875	948
752	2880	944
753	2885	941
754	2888	937
755	2892	933
756	2896	929
757	2901	926
758	2905	922
759	2909	918
760	2913	915
761	2917	911
762	2921	907
763	2925	903
764	2929	900
765	2933	896
766	2937	892
767	2942	888
768	2946	884
769	2949	881
770	2953	877
771	2958	873
772	2962	869
773	2966	866
774	2971	862
775	2974	858
776	2978	854
777	2982	851
778	2987	847
779	2991	843
780	2994	839
781	2999	836
782	3003	832
783	3007	828
784	3010	824
785	3016	821
786	3020	817
787	3024	813
788	3029	810
789	3032	806
790	3036	802
791	3040	798
792	3046	795
793	3050	791
794	3053	787
795	3058	783
796	3062	780
797	3066	776
798	3072	772
799	3078	769
800	3082	765
801	3088	762
802	3092	758
803	3096	754
804	3101	751
805	3106	747
806	3110	743
807	3114	740
808	3120	736
809	3124	732
810	3128	729
811	3134	725
812	3137	721
813	3141	717
814	3147	714
815	3152	710
816	3156	707
817	3161	703
818	3165	699
819	3169	695
820	3173	691
821	3177	688
822	3182	684
823	3185	680
824	3190	676
825	3194	672
826	3198	669
827	3202	665
828	3206	661
829	3210	657
830	3214	653
831	3219	650
832	3223	646
833	3228	642
834	3232	638
835	3236	634
836	3241	631
837	3245	627
838	3250	623
839	3254	619
840	3258	616
841	3263	612
842	3267	608
843	3273	605
844	3279	601
845	3283	597
846	3288	594
847	3293	590
848	3297	586
849	3301	582
850	3306	578
851	3311	575
852	3315	571
853	3318	567
854	3323	563
855	3326	559
856	3330	555
857	3334	551
858	3339	548
859	3343	544
860	3347	540
861	3352	536
862	3356	532
863	3360	528
864	3365	525
865	3369	521
866	3373	517
867	3378	513
868	3382	509
869	3385	505
870	3389	502
871	3394	498
872	3398	494
873	3402	490
874	3406	486
875	3410	482
876	3414	478
877	3418	474
878	3423	471
879	3427	467
880	3431	463
881	3436	459
882	3439	455
883	3444	451
884	3447	448
885	3452	444
886	3456	440
887	3460	436
888	3464	432
889	3468	428
890	3472	424
891	3476	420
892	3481	417
893	3485	413
894	3491	409
895	3496	405
896	3500	401
897	3503	398
898	3509	394
899	3513	390
900	3517	386
901	3521	382
902	3526	378
903	3530	374
904	3533	370
905	3538	367
906	3543	363
907	3546	359
908	3550	355
909	3554	351
910	3558	347
911	3562	343
912	3566	339
913	3571	336
914	3575	332
915	3578	328
916	3583	324
917	3587	320
918	3590	316
919	3594	312
920	3600	308
921	3604	304
922	3608	301
923	3613	297
924	3617	293
925	3621	289
926	3624	285
927	3630	281
928	3634	277
929	3637	273
930	3642	269
931	3645	266
932	3650	262
933	3653	258
934	3658	254
935	3662	250
936	3666	246
937	3670	242
938	3674	238
939	3678	234
940	3681	230
941	3687	227
942	3691	223
943	3695	219
944	3699	215
945	3703	211
946	3707	207
947	3711	203
948	3716	199
949	3720	195
950	3724	191
951	3728	188
952	3732	184
953	3736	180
954	3740	176
955	3745	172
956	3749	168
957	3753	164
958	3757	160
959	3761	156
960	3765	152
961	3769	148
962	3774	145
963	3778	141
964	3782	137
965	3787	133
966	3791	129
967	3794	125
968	3798	121
969	3803	117
970	3808	113
971	3812	109
972	3817	105
973	3820	101
974	3824	98
975	3828	94
976	3833	90
977	3839	86
978	3843	82
979	3848	78
980	3851	74
981	3855	70
982	3859	66
983	3864	62
984	3868	58
985	3872	54
986	3876	51
987	3881	47
988	3884	43
989	3889	39
990	3893	35
991	3901	31
992	3907	27
993	3912	23
994	3916	19
995	3923	15
996	3927	11
997	3931	7
998	3936	3
999	3940	0
