iter	RMSE
0	0.3786085963
1	0.3708073639
2	0.3633924666
3	0.3567025972
4	0.3500900173
5	0.3434581402
6	0.3369316536
7	0.3310282652
8	0.3254554486
9	0.3206978346
10	0.315748059
11	0.310893932
12	0.3062317854
13	0.3017926118
14	0.2977060313
15	0.293421478
16	0.2896408001
17	0.2860655071
18	0.2827365921
19	0.2791069829
20	0.2757245078
21	0.2721764543
22	0.2688213794
23	0.2662586905
24	0.2635761956
25	0.260965677
26	0.2584923817
27	0.2562603366
28	0.2542684193
29	0.25194616
30	0.2494844999
31	0.247402186
32	0.2450496655
33	0.2427142585
34	0.2407895848
35	0.2385267786
36	0.2370651268
37	0.235193949
38	0.2334241942
39	0.2319065805
40	0.2295905847
41	0.2281426206
42	0.2267624196
43	0.2254267822
44	0.2237356215
45	0.2220022434
46	0.220294988
47	0.2188528645
48	0.2177866631
49	0.2160473015
50	0.2150455944
51	0.2137674893
52	0.2127704387
53	0.2114851626
54	0.2103780244
55	0.2085995071
56	0.2072824637
57	0.2062551211
58	0.2047007717
59	0.2037110013
60	0.2028696289
61	0.2016137797
62	0.2007506308
63	0.1995032267
64	0.1984480591
65	0.1972863479
66	0.1966940842
67	0.1954538913
68	0.1947191686
69	0.1937535462
70	0.1929658678
71	0.1920761223
72	0.1913558803
73	0.1908306058
74	0.1898915531
75	0.1890723208
76	0.1878565491
77	0.187156223
78	0.1860918703
79	0.1850781923
80	0.1838081211
81	0.1832120542
82	0.1825126218
83	0.1819256272
84	0.181259304
85	0.1806407412
86	0.1800343978
87	0.179409394
88	0.1788600417
89	0.1777196738
90	0.1771454028
91	0.1765359466
92	0.1757577624
93	0.1749233441
94	0.1738553185
95	0.17318587
96	0.1726454402
97	0.1720016887
98	0.1712851496
99	0.1705704655
100	0.1698386305
101	0.1689839684
102	0.168462621
103	0.1678755346
104	0.1674064667
105	0.1666675483
106	0.1659387718
107	0.1653575274
108	0.1645922596
109	0.1640478213
110	0.1636697361
111	0.1630367275
112	0.1625219232
113	0.1620962548
114	0.1615853813
115	0.1611292429
116	0.1604944123
117	0.159903844
118	0.1594319983
119	0.158853392
120	0.1582663567
